,country,continent,year,lifeExp,pop
109,Hungary,Europe,1978,69.49,10673300.0
110,Hungary,Europe,1979,69.7,10698234.0
111,Hungary,Europe,1980,69.11,10711122.0
112,Hungary,Europe,1981,69.17,10711848.0
113,Hungary,Europe,1982,69.39,10705535.0
114,Hungary,Europe,1983,68.95,10689463.0
115,Hungary,Europe,1984,68.99,10668095.0
116,Hungary,Europe,1985,68.93,10648713.0
117,Hungary,Europe,1986,69.13,10630563.0
118,Hungary,Europe,1987,69.58,10612740.0
119,Hungary,Europe,1988,69.96,10442500.0
120,Hungary,Europe,1989,69.41,10397959.0
121,Hungary,Europe,1990,69.39,10371878.0
122,Hungary,Europe,1991,69.45,10364737.0
123,Hungary,Europe,1992,69.17,10348684.0
124,Hungary,Europe,1993,69.17,10329012.0
125,Hungary,Europe,1994,69.61,10312714.0
126,Hungary,Europe,1995,70.01,10295874.0
127,Hungary,Europe,1996,70.59,10273591.0
128,Hungary,Europe,1997,71.04,10244684.0
129,Hungary,Europe,1998,70.97,10211127.0
130,Hungary,Europe,1999,71.1,10172673.0
131,Hungary,Europe,2000,71.83,10137449.0
132,Hungary,Europe,2001,72.47,10109467.0
133,Hungary,Europe,2002,72.59,10083313.0
134,Hungary,Europe,2003,72.61,10057745.0
135,Hungary,Europe,2004,73.01,10032375.0
136,Hungary,Europe,2005,72.97,10006835.0
137,Hungary,Europe,2007,73.33800000000001,9956108.0
138,Iran,Asia,1952,44.869,17272000.0
139,Iran,Asia,1957,47.181000000000004,19792000.0
140,Iran,Asia,1962,49.325,22874000.0
141,Iran,Asia,1967,52.468999999999994,26538000.0
142,Iran,Asia,1972,55.233999999999995,30614000.0
143,Iran,Asia,1977,57.702,35480679.0
144,Iran,Asia,1982,59.62,43072751.0
145,Iran,Asia,1987,63.04,51889696.0
146,Iran,Asia,1992,65.742,60397973.0
147,Iran,Asia,1997,68.042,63327987.0
148,Iran,Asia,2002,69.45100000000001,66907826.0
149,Iran,Asia,2007,70.964,69453570.0
150,Ireland,Europe,1951,65.8,2959311.0
151,Ireland,Europe,1952,66.91,2952156.0
152,Ireland,Europe,1957,68.9,2878220.0
153,Ireland,Europe,1962,70.29,2830000.0
154,Ireland,Europe,1967,71.08,2900100.0
155,Ireland,Europe,1972,71.28,3024400.0
156,Ireland,Europe,1977,72.03,3271900.0
157,Ireland,Europe,1982,73.1,3480000.0
158,Ireland,Europe,1987,74.36,3539900.0
159,Ireland,Europe,1992,75.467,3557761.0
160,Ireland,Europe,1997,76.122,3667233.0
161,Ireland,Europe,2002,77.783,3879155.0
162,Ireland,Europe,2007,78.885,4109086.0
163,Namibia,Africa,1952,41.725,485831.0
164,Namibia,Africa,1957,45.226000000000006,548080.0
165,Namibia,Africa,1962,48.386,621392.0
166,Namibia,Africa,1967,51.159,706640.0
167,Namibia,Africa,1972,53.867,821782.0
168,Namibia,Africa,1977,56.437,977026.0
169,Namibia,Africa,1982,58.968,1099010.0
170,Namibia,Africa,1987,60.835,1278184.0
171,Namibia,Africa,1992,61.998999999999995,1554253.0
172,Namibia,Africa,1997,58.909,1774766.0
173,Namibia,Africa,2002,51.479,1972153.0
174,Namibia,Africa,2007,52.906000000000006,2055080.0
175,Vietnam,Asia,1952,40.412,26246839.0
176,Vietnam,Asia,1957,42.887,28998543.0
177,Vietnam,Asia,1962,45.363,33796140.0
178,Vietnam,Asia,1967,47.838,39463910.0
179,Vietnam,Asia,1972,50.254,44655014.0
180,Vietnam,Asia,1977,55.763999999999996,50533506.0
181,Vietnam,Asia,1982,58.816,56142181.0
182,Vietnam,Asia,1987,62.82,62826491.0
183,Vietnam,Asia,1992,67.66199999999999,69940728.0
184,Vietnam,Asia,1997,70.672,76048996.0
185,Vietnam,Asia,2002,73.017,80908147.0
186,Vietnam,Asia,2007,74.249,85262356.0
187,Argentina,Americas,2008,75.5,39700000.0
188,Argentina,Americas,2009,75.7,40100000.0
189,Argentina,Americas,2010,75.8,40400000.0
190,Argentina,Americas,2011,76.0,40800000.0
191,Argentina,Americas,2012,76.1,41100000.0
192,Argentina,Americas,2013,76.2,41500000.0
193,Argentina,Americas,2014,76.4,
194,Argentina,Americas,2015,76.5,
195,Argentina,Americas,2016,76.7,
196,Argentina,Americas,2017,76.8,
197,Argentina,Americas,2018,77.0,
198,Argentina,Americas,2019,77.1,
199,Argentina,Americas,2020,77.3,
200,Argentina,Americas,2021,77.5,
201,Argentina,Americas,2022,77.6,
202,Argentina,Americas,2023,77.8,
203,Argentina,Americas,2024,77.9,
204,Argentina,Americas,2025,78.1,
205,Argentina,Americas,2026,78.3,
206,Argentina,Americas,2027,78.4,
207,Argentina,Americas,2028,78.6,
208,Argentina,Americas,2029,78.8,
209,Argentina,Americas,2030,78.9,
210,Argentina,Americas,2031,79.1,
211,Argentina,Americas,2032,79.2,
212,Argentina,Americas,2033,79.4,
213,Argentina,Americas,2034,79.6,
214,Argentina,Americas,2035,79.7,
215,Argentina,Americas,2036,79.9,
216,Argentina,Americas,2037,80.0,
217,Argentina,Americas,2038,80.2,
218,Argentina,Americas,2039,80.4,
219,Argentina,Americas,2040,80.5,
220,Argentina,Americas,2041,80.7,
221,Argentina,Americas,2042,80.9,
222,Argentina,Americas,2043,81.0,
223,Argentina,Americas,2044,81.2,
224,Argentina,Americas,2045,81.4,
225,Argentina,Americas,2046,81.5,
226,Argentina,Americas,2047,81.7,
227,Argentina,Americas,2048,81.9,
228,Argentina,Americas,2049,82.0,
229,Argentina,Americas,2050,82.2,50600000.0
230,Argentina,Americas,2051,82.3,
231,Argentina,Americas,2052,82.5,
232,Argentina,Americas,2053,82.7,
233,Argentina,Americas,2054,82.8,
234,Argentina,Americas,2055,83.0,
235,Argentina,Americas,2056,83.1,
236,Argentina,Americas,2057,83.3,
237,Argentina,Americas,2058,83.4,
238,Argentina,Americas,2059,83.5,
239,Argentina,Americas,2060,83.7,
240,Argentina,Americas,2061,83.8,
241,Argentina,Americas,2062,83.9,
242,Argentina,Americas,2063,84.1,
243,Argentina,Americas,2064,84.2,
244,Argentina,Americas,2065,84.3,
245,Argentina,Americas,2066,84.5,
246,Argentina,Americas,2067,84.6,
247,Argentina,Americas,2068,84.7,
248,Argentina,Americas,2069,84.8,
249,Argentina,Americas,2070,84.9,
250,Argentina,Americas,2071,85.0,
251,Argentina,Americas,2072,85.2,
252,Argentina,Americas,2073,85.3,
253,Argentina,Americas,2074,85.4,
254,Argentina,Americas,2075,85.5,
255,Argentina,Americas,2076,85.7,
256,Argentina,Americas,2077,85.8,
257,Argentina,Americas,2078,85.9,
258,Argentina,Americas,2079,86.0,
259,Argentina,Americas,2080,86.1,
260,Argentina,Americas,2081,86.3,
261,Argentina,Americas,2082,86.4,
262,Argentina,Americas,2083,86.5,
263,Argentina,Americas,2084,86.6,
264,Argentina,Americas,2085,86.7,
265,Argentina,Americas,2086,86.8,
266,Argentina,Americas,2087,86.9,
267,Argentina,Americas,2088,87.0,
268,Argentina,Americas,2089,87.1,
269,Argentina,Americas,2090,87.3,
270,Argentina,Americas,2091,87.4,
271,Argentina,Americas,2092,87.5,
272,Argentina,Americas,2093,87.6,
273,Argentina,Americas,2094,87.7,
274,Argentina,Americas,2095,87.8,
275,Argentina,Americas,2096,87.9,
276,Argentina,Americas,2097,88.0,
277,Argentina,Americas,2098,88.1,
278,Argentina,Americas,2099,88.2,
279,Argentina,Americas,2100,88.3,49200000.0
280,Argentina,Americas,2008,75.5,39700000.0
281,Argentina,Americas,2009,75.7,40100000.0
282,Argentina,Americas,2010,75.8,40400000.0
283,Argentina,Americas,2011,76.0,40800000.0
284,Argentina,Americas,2012,76.1,41100000.0
285,Argentina,Americas,2013,76.2,41500000.0
286,Argentina,Americas,2014,76.4,
287,Argentina,Americas,2015,76.5,
288,Argentina,Americas,2016,76.7,
289,Argentina,Americas,2017,76.8,
290,Argentina,Americas,2018,77.0,
291,Argentina,Americas,2019,77.1,
292,Argentina,Americas,2020,77.3,
293,Argentina,Americas,2021,77.5,
294,Argentina,Americas,2022,77.6,
295,Argentina,Americas,2023,77.8,
296,Argentina,Americas,2024,77.9,
297,Argentina,Americas,2025,78.1,
298,Argentina,Americas,2026,78.3,
299,Argentina,Americas,2027,78.4,
300,Argentina,Americas,2028,78.6,
301,Argentina,Americas,2029,78.8,
302,Argentina,Americas,2030,78.9,
303,Argentina,Americas,2031,79.1,
304,Argentina,Americas,2032,79.2,
305,Argentina,Americas,2033,79.4,
306,Argentina,Americas,2034,79.6,
307,Argentina,Americas,2035,79.7,
308,Argentina,Americas,2036,79.9,
309,Argentina,Americas,2037,80.0,
310,Argentina,Americas,2038,80.2,
311,Argentina,Americas,2039,80.4,
312,Argentina,Americas,2040,80.5,
313,Argentina,Americas,2041,80.7,
314,Argentina,Americas,2042,80.9,
315,Argentina,Americas,2043,81.0,
316,Argentina,Americas,2044,81.2,
317,Argentina,Americas,2045,81.4,
318,Argentina,Americas,2046,81.5,
319,Argentina,Americas,2047,81.7,
320,Argentina,Americas,2048,81.9,
321,Argentina,Americas,2049,82.0,
322,Argentina,Americas,2050,82.2,50600000.0
323,Argentina,Americas,2051,82.3,
324,Argentina,Americas,2052,82.5,
325,Argentina,Americas,2053,82.7,
326,Argentina,Americas,2054,82.8,
327,Argentina,Americas,2055,83.0,
328,Argentina,Americas,2056,83.1,
329,Argentina,Americas,2057,83.3,
330,Argentina,Americas,2058,83.4,
331,Argentina,Americas,2059,83.5,
332,Argentina,Americas,2060,83.7,
333,Argentina,Americas,2061,83.8,
334,Argentina,Americas,2062,83.9,
335,Argentina,Americas,2063,84.1,
336,Argentina,Americas,2064,84.2,
337,Argentina,Americas,2065,84.3,
338,Argentina,Americas,2066,84.5,
339,Argentina,Americas,2067,84.6,
340,Argentina,Americas,2068,84.7,
341,Argentina,Americas,2069,84.8,
342,Argentina,Americas,2070,84.9,
343,Argentina,Americas,2071,85.0,
344,Argentina,Americas,2072,85.2,
345,Argentina,Americas,2073,85.3,
346,Argentina,Americas,2074,85.4,
347,Argentina,Americas,2075,85.5,
348,Argentina,Americas,2076,85.7,
349,Argentina,Americas,2077,85.8,
350,Argentina,Americas,2078,85.9,
351,Argentina,Americas,2079,86.0,
352,Argentina,Americas,2080,86.1,
353,Argentina,Americas,2081,86.3,
354,Argentina,Americas,2082,86.4,
355,Argentina,Americas,2083,86.5,
356,Argentina,Americas,2084,86.6,
357,Argentina,Americas,2085,86.7,
358,Argentina,Americas,2086,86.8,
359,Argentina,Americas,2087,86.9,
360,Argentina,Americas,2088,87.0,
361,Argentina,Americas,2089,87.1,
362,Argentina,Americas,2090,87.3,
363,Argentina,Americas,2091,87.4,
364,Argentina,Americas,2092,87.5,
365,Argentina,Americas,2093,87.6,
366,Argentina,Americas,2094,87.7,
367,Argentina,Americas,2095,87.8,
368,Argentina,Americas,2096,87.9,
369,Argentina,Americas,2097,88.0,
370,Argentina,Americas,2098,88.1,
371,Argentina,Americas,2099,88.2,
372,Argentina,Americas,2100,88.3,49200000.0
373,Argentina,Americas,2008,75.5,39700000.0
374,Argentina,Americas,2009,75.7,40100000.0
375,Argentina,Americas,2010,75.8,40400000.0
376,Argentina,Americas,2011,76.0,40800000.0
377,Argentina,Americas,2012,76.1,41100000.0
378,Argentina,Americas,2013,76.2,41500000.0
379,Argentina,Americas,2014,76.4,
380,Argentina,Americas,2015,76.5,
381,Argentina,Americas,2016,76.7,
382,Argentina,Americas,2017,76.8,
383,Argentina,Americas,2018,77.0,
384,Argentina,Americas,2019,77.1,
385,Argentina,Americas,2020,77.3,
386,Argentina,Americas,2021,77.5,
387,Argentina,Americas,2022,77.6,
388,Argentina,Americas,2023,77.8,
389,Argentina,Americas,2024,77.9,
390,Argentina,Americas,2025,78.1,
391,Argentina,Americas,2026,78.3,
392,Argentina,Americas,2027,78.4,
393,Argentina,Americas,2028,78.6,
394,Argentina,Americas,2029,78.8,
395,Argentina,Americas,2030,78.9,
396,Argentina,Americas,2031,79.1,
397,Argentina,Americas,2032,79.2,
398,Argentina,Americas,2033,79.4,
399,Argentina,Americas,2034,79.6,
400,Argentina,Americas,2035,79.7,
401,Argentina,Americas,2036,79.9,
402,Argentina,Americas,2037,80.0,
403,Argentina,Americas,2038,80.2,
404,Argentina,Americas,2039,80.4,
405,Argentina,Americas,2040,80.5,
406,Argentina,Americas,2041,80.7,
407,Argentina,Americas,2042,80.9,
408,Argentina,Americas,2043,81.0,
409,Argentina,Americas,2044,81.2,
410,Argentina,Americas,2045,81.4,
411,Argentina,Americas,2046,81.5,
412,Argentina,Americas,2047,81.7,
413,Argentina,Americas,2048,81.9,
414,Argentina,Americas,2049,82.0,
415,Argentina,Americas,2050,82.2,50600000.0
416,Argentina,Americas,2051,82.3,
417,Argentina,Americas,2052,82.5,
418,Argentina,Americas,2053,82.7,
419,Argentina,Americas,2054,82.8,
420,Argentina,Americas,2055,83.0,
421,Argentina,Americas,2056,83.1,
422,Argentina,Americas,2057,83.3,
423,Argentina,Americas,2058,83.4,
424,Argentina,Americas,2059,83.5,
425,Argentina,Americas,2060,83.7,
426,Argentina,Americas,2061,83.8,
427,Argentina,Americas,2062,83.9,
428,Argentina,Americas,2063,84.1,
429,Argentina,Americas,2064,84.2,
430,Argentina,Americas,2065,84.3,
431,Argentina,Americas,2066,84.5,
432,Argentina,Americas,2067,84.6,
433,Argentina,Americas,2068,84.7,
434,Argentina,Americas,2069,84.8,
435,Argentina,Americas,2070,84.9,
436,Argentina,Americas,2071,85.0,
437,Argentina,Americas,2072,85.2,
438,Argentina,Americas,2073,85.3,
439,Argentina,Americas,2074,85.4,
440,Argentina,Americas,2075,85.5,
441,Argentina,Americas,2076,85.7,
442,Argentina,Americas,2077,85.8,
443,Argentina,Americas,2078,85.9,
444,Argentina,Americas,2079,86.0,
445,Argentina,Americas,2080,86.1,
446,Argentina,Americas,2081,86.3,
447,Argentina,Americas,2082,86.4,
448,Argentina,Americas,2083,86.5,
449,Argentina,Americas,2084,86.6,
450,Argentina,Americas,2085,86.7,
451,Argentina,Americas,2086,86.8,
452,Argentina,Americas,2087,86.9,
453,Argentina,Americas,2088,87.0,
454,Argentina,Americas,2089,87.1,
455,Argentina,Americas,2090,87.3,
456,Argentina,Americas,2091,87.4,
457,Argentina,Americas,2092,87.5,
458,Argentina,Americas,2093,87.6,
459,Argentina,Americas,2094,87.7,
460,Argentina,Americas,2095,87.8,
461,Argentina,Americas,2096,87.9,
462,Argentina,Americas,2097,88.0,
463,Argentina,Americas,2098,88.1,
464,Argentina,Americas,2099,88.2,
465,Argentina,Americas,2100,88.3,49200000.0
466,Argentina,Americas,2008,75.5,39700000.0
467,Argentina,Americas,2009,75.7,40100000.0
468,Argentina,Americas,2010,75.8,40400000.0
469,Argentina,Americas,2011,76.0,40800000.0
470,Argentina,Americas,2012,76.1,41100000.0
471,Argentina,Americas,2013,76.2,41500000.0
472,Argentina,Americas,2014,76.4,
473,Argentina,Americas,2015,76.5,
474,Argentina,Americas,2016,76.7,
475,Argentina,Americas,2017,76.8,
476,Argentina,Americas,2018,77.0,
477,Argentina,Americas,2019,77.1,
478,Argentina,Americas,2020,77.3,
479,Argentina,Americas,2021,77.5,
480,Argentina,Americas,2022,77.6,
481,Argentina,Americas,2023,77.8,
482,Argentina,Americas,2024,77.9,
483,Argentina,Americas,2025,78.1,
484,Argentina,Americas,2026,78.3,
485,Argentina,Americas,2027,78.4,
486,Argentina,Americas,2028,78.6,
487,Argentina,Americas,2029,78.8,
488,Argentina,Americas,2030,78.9,
489,Argentina,Americas,2031,79.1,
490,Argentina,Americas,2032,79.2,
491,Argentina,Americas,2033,79.4,
492,Argentina,Americas,2034,79.6,
493,Argentina,Americas,2035,79.7,
494,Argentina,Americas,2036,79.9,
495,Argentina,Americas,2037,80.0,
496,Argentina,Americas,2038,80.2,
497,Argentina,Americas,2039,80.4,
498,Argentina,Americas,2040,80.5,
499,Argentina,Americas,2041,80.7,
500,Argentina,Americas,2042,80.9,
501,Argentina,Americas,2043,81.0,
502,Argentina,Americas,2044,81.2,
503,Argentina,Americas,2045,81.4,
504,Argentina,Americas,2046,81.5,
505,Argentina,Americas,2047,81.7,
506,Argentina,Americas,2048,81.9,
507,Argentina,Americas,2049,82.0,
508,Argentina,Americas,2050,82.2,50600000.0
509,Argentina,Americas,2051,82.3,
510,Argentina,Americas,2052,82.5,
511,Argentina,Americas,2053,82.7,
512,Argentina,Americas,2054,82.8,
513,Argentina,Americas,2055,83.0,
514,Argentina,Americas,2056,83.1,
515,Argentina,Americas,2057,83.3,
516,Argentina,Americas,2058,83.4,
517,Argentina,Americas,2059,83.5,
518,Argentina,Americas,2060,83.7,
519,Argentina,Americas,2061,83.8,
520,Argentina,Americas,2062,83.9,
521,Argentina,Americas,2063,84.1,
522,Argentina,Americas,2064,84.2,
523,Argentina,Americas,2065,84.3,
524,Argentina,Americas,2066,84.5,
525,Argentina,Americas,2067,84.6,
526,Argentina,Americas,2068,84.7,
527,Argentina,Americas,2069,84.8,
528,Argentina,Americas,2070,84.9,
529,Argentina,Americas,2071,85.0,
530,Argentina,Americas,2072,85.2,
531,Argentina,Americas,2073,85.3,
532,Argentina,Americas,2074,85.4,
533,Argentina,Americas,2075,85.5,
534,Argentina,Americas,2076,85.7,
535,Argentina,Americas,2077,85.8,
536,Argentina,Americas,2078,85.9,
537,Argentina,Americas,2079,86.0,
538,Argentina,Americas,2080,86.1,
539,Argentina,Americas,2081,86.3,
540,Argentina,Americas,2082,86.4,
541,Argentina,Americas,2083,86.5,
542,Argentina,Americas,2084,86.6,
543,Argentina,Americas,2085,86.7,
544,Argentina,Americas,2086,86.8,
545,Argentina,Americas,2087,86.9,
546,Argentina,Americas,2088,87.0,
547,Argentina,Americas,2089,87.1,
548,Argentina,Americas,2090,87.3,
549,Argentina,Americas,2091,87.4,
550,Argentina,Americas,2092,87.5,
551,Argentina,Americas,2093,87.6,
552,Argentina,Americas,2094,87.7,
553,Argentina,Americas,2095,87.8,
554,Argentina,Americas,2096,87.9,
555,Argentina,Americas,2097,88.0,
556,Argentina,Americas,2098,88.1,
557,Argentina,Americas,2099,88.2,
558,Argentina,Americas,2100,88.3,49200000.0
559,Argentina,Americas,2008,75.5,39700000.0
560,Argentina,Americas,2009,75.7,40100000.0
561,Argentina,Americas,2010,75.8,40400000.0
562,Argentina,Americas,2011,76.0,40800000.0
563,Argentina,Americas,2012,76.1,41100000.0
564,Argentina,Americas,2013,76.2,41500000.0
565,Argentina,Americas,2014,76.4,
566,Argentina,Americas,2015,76.5,
567,Argentina,Americas,2016,76.7,
568,Argentina,Americas,2017,76.8,
569,Argentina,Americas,2018,77.0,
570,Argentina,Americas,2019,77.1,
571,Argentina,Americas,2020,77.3,
572,Argentina,Americas,2021,77.5,
573,Argentina,Americas,2022,77.6,
574,Argentina,Americas,2023,77.8,
575,Argentina,Americas,2024,77.9,
576,Argentina,Americas,2025,78.1,
577,Argentina,Americas,2026,78.3,
578,Argentina,Americas,2027,78.4,
579,Argentina,Americas,2028,78.6,
580,Argentina,Americas,2029,78.8,
581,Argentina,Americas,2030,78.9,
582,Argentina,Americas,2031,79.1,
583,Argentina,Americas,2032,79.2,
584,Argentina,Americas,2033,79.4,
585,Argentina,Americas,2034,79.6,
586,Argentina,Americas,2035,79.7,
587,Argentina,Americas,2036,79.9,
588,Argentina,Americas,2037,80.0,
589,Argentina,Americas,2038,80.2,
590,Argentina,Americas,2039,80.4,
591,Argentina,Americas,2040,80.5,
592,Argentina,Americas,2041,80.7,
593,Argentina,Americas,2042,80.9,
594,Argentina,Americas,2043,81.0,
595,Argentina,Americas,2044,81.2,
596,Argentina,Americas,2045,81.4,
597,Argentina,Americas,2046,81.5,
598,Argentina,Americas,2047,81.7,
599,Argentina,Americas,2048,81.9,
600,Argentina,Americas,2049,82.0,
601,Argentina,Americas,2050,82.2,50600000.0
602,Argentina,Americas,2051,82.3,
603,Argentina,Americas,2052,82.5,
604,Argentina,Americas,2053,82.7,
605,Argentina,Americas,2054,82.8,
606,Argentina,Americas,2055,83.0,
607,Argentina,Americas,2056,83.1,
608,Argentina,Americas,2057,83.3,
609,Argentina,Americas,2058,83.4,
610,Argentina,Americas,2059,83.5,
611,Argentina,Americas,2060,83.7,
612,Argentina,Americas,2061,83.8,
613,Argentina,Americas,2062,83.9,
614,Argentina,Americas,2063,84.1,
615,Argentina,Americas,2064,84.2,
616,Argentina,Americas,2065,84.3,
617,Argentina,Americas,2066,84.5,
618,Argentina,Americas,2067,84.6,
619,Argentina,Americas,2068,84.7,
620,Argentina,Americas,2069,84.8,
621,Argentina,Americas,2070,84.9,
622,Argentina,Americas,2071,85.0,
623,Argentina,Americas,2072,85.2,
624,Argentina,Americas,2073,85.3,
625,Argentina,Americas,2074,85.4,
626,Argentina,Americas,2075,85.5,
627,Argentina,Americas,2076,85.7,
628,Argentina,Americas,2077,85.8,
629,Argentina,Americas,2078,85.9,
630,Argentina,Americas,2079,86.0,
631,Argentina,Americas,2080,86.1,
632,Argentina,Americas,2081,86.3,
633,Argentina,Americas,2082,86.4,
634,Argentina,Americas,2083,86.5,
635,Argentina,Americas,2084,86.6,
636,Argentina,Americas,2085,86.7,
637,Argentina,Americas,2086,86.8,
638,Argentina,Americas,2087,86.9,
639,Argentina,Americas,2088,87.0,
640,Argentina,Americas,2089,87.1,
641,Argentina,Americas,2090,87.3,
642,Argentina,Americas,2091,87.4,
643,Argentina,Americas,2092,87.5,
644,Argentina,Americas,2093,87.6,
645,Argentina,Americas,2094,87.7,
646,Argentina,Americas,2095,87.8,
647,Argentina,Americas,2096,87.9,
648,Argentina,Americas,2097,88.0,
649,Argentina,Americas,2098,88.1,
650,Argentina,Americas,2099,88.2,
651,Argentina,Americas,2100,88.3,49200000.0
652,Argentina,Americas,2008,75.5,39700000.0
653,Argentina,Americas,2009,75.7,40100000.0
654,Argentina,Americas,2010,75.8,40400000.0
655,Argentina,Americas,2011,76.0,40800000.0
656,Argentina,Americas,2012,76.1,41100000.0
657,Argentina,Americas,2013,76.2,41500000.0
658,Argentina,Americas,2014,76.4,
659,Argentina,Americas,2015,76.5,
660,Argentina,Americas,2016,76.7,
661,Argentina,Americas,2017,76.8,
662,Argentina,Americas,2018,77.0,
663,Argentina,Americas,2019,77.1,
664,Argentina,Americas,2020,77.3,
665,Argentina,Americas,2021,77.5,
666,Argentina,Americas,2022,77.6,
667,Argentina,Americas,2023,77.8,
668,Argentina,Americas,2024,77.9,
669,Argentina,Americas,2025,78.1,
670,Argentina,Americas,2026,78.3,
671,Argentina,Americas,2027,78.4,
672,Argentina,Americas,2028,78.6,
673,Argentina,Americas,2029,78.8,
